program_name,kernel_mangled_name,has_branching,has_data_dependent_branching,has_flop_division,uses_preprocessor_defines,has_common_float_subexpr,has_loop_invariant_flops,has_special_math_functions,calls_device_function,has_rng_input_data,reads_input_values_from_file,has_constant_propagatable_gridsz,has_constant_propagatable_blocksz
adjacent-cuda,_Z18BlockAdjDiffKernelILi256EEvPKiPib,True,False,False,False,False,False,False,True,False,False,True,True
adjacent-cuda,_Z18BlockAdjDiffKernelILi64EEvPKiPib,True,False,False,False,False,False,False,True,False,False,True,True
adjacent-omp,_Z18BlockAdjDiffKernelILi128EEvPKiPibi_l42,True,True,False,False,False,False,False,False,False,False,True,True
adjacent-omp,_Z18BlockAdjDiffKernelILi256EEvPKiPibi_l42,True,True,False,False,False,False,False,False,False,False,True,True
adjacent-omp,_Z18BlockAdjDiffKernelILi64EEvPKiPibi_l42,True,False,False,False,False,False,False,False,False,False,False,True
adv-cuda,_Z16advCubatureHex3DiPKdS0_S0_S0_iS0_Pd,True,False,False,True,False,True,False,False,True,False,True,True
adv-omp,main_l72,True,True,False,True,False,False,False,False,True,False,True,True
affine-cuda,_Z6affinePKtPt,True,True,True,True,True,False,True,False,False,True,True,True
affine-omp,main_l80,True,True,True,True,True,True,True,False,False,True,False,True
aidw-cuda,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0_,True,True,True,True,True,False,True,False,True,False,True,True
aidw-cuda,_Z17AIDW_Kernel_TiledPKfS0_S0_iS0_S0_PfifS0_,True,True,True,True,False,False,True,False,True,False,True,True
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,True,True,True,True,True,True,True,False,True,False,False,True
aligned-types-cuda,_Z10testKernelI13uint2_alignedEvPT_PKS1_i,True,True,False,False,False,False,False,False,False,False,True,True
aligned-types-cuda,_Z10testKernelI13uint3_alignedEvPT_PKS1_i,True,True,False,False,False,False,False,False,False,False,False,True
aligned-types-cuda,_Z10testKernelI14uchar4_alignedEvPT_PKS1_i,True,True,False,False,False,False,False,False,False,False,True,True
aligned-types-cuda,_Z10testKernelI16uint2_misalignedEvPT_PKS1_i,True,True,False,False,False,False,False,False,False,False,False,True
aligned-types-cuda,_Z10testKernelI16uint3_misalignedEvPT_PKS1_i,True,True,False,False,False,False,False,False,False,False,True,True
aligned-types-cuda,_Z10testKernelI17uchar4_misalignedEvPT_PKS1_i,True,True,False,False,False,False,False,False,False,False,False,True
aligned-types-cuda,_Z10testKernelIhEvPT_PKS0_i,True,True,False,False,False,False,False,False,False,False,False,True
aligned-types-cuda,_Z10testKernelIjEvPT_PKS0_i,True,True,False,False,False,False,False,False,False,False,False,True
aligned-types-cuda,_Z10testKernelItEvPT_PKS0_i,True,True,False,False,False,False,False,False,False,False,False,True
aligned-types-omp,_Z7runTestI14uchar4_alignedEiPhS1_ii_l196,False,False,False,False,False,False,False,False,False,False,False,True
aligned-types-omp,_Z7runTestI17uchar4_misalignedEiPhS1_ii_l196,False,False,False,False,False,False,False,False,False,False,False,True
aligned-types-omp,_Z7runTestIhEiPhS0_ii_l187,False,False,False,False,False,False,False,False,False,False,False,True
aligned-types-omp,_Z7runTestIhEiPhS0_ii_l196,False,False,False,False,False,False,False,False,False,False,False,True
aligned-types-omp,_Z7runTestIjEiPhS0_ii_l196,False,False,False,False,False,False,False,False,False,False,False,True
aligned-types-omp,_Z7runTestItEiPhS0_ii_l196,False,False,False,False,False,False,False,False,False,False,False,True
all-pairs-distance-cuda,_Z2k1PKcPi,True,True,False,True,False,False,False,False,True,False,True,True
all-pairs-distance-cuda,_Z2k2PKcPi,True,True,False,True,False,False,False,False,True,False,True,True
all-pairs-distance-cuda,_Z2k3PKcPi,True,True,False,True,False,False,False,True,True,False,True,True
all-pairs-distance-omp,main_l150,True,True,False,True,False,False,False,False,True,False,True,True
all-pairs-distance-omp,main_l97,True,True,False,True,False,False,False,False,True,False,True,True
amgmk-cuda,_Z5relaxPKdPKiS2_PdS0_i,True,True,True,False,False,False,False,False,False,False,False,True
amgmk-omp,_Z10test_Relaxv_l258,True,True,True,True,False,False,False,False,False,False,False,True
ans-cuda,_Z20phase1_decode_subseqjjjPjPKjP5uint4jjjj,True,True,False,False,False,False,False,False,False,False,False,True
ans-cuda,_Z25phase2_synchronise_blocksjjjjPjPKjP5uint4Phjjj,True,True,False,False,False,False,False,False,False,False,False,False
ans-cuda,_Z26phase4_decode_write_outputjjjPjPhjPKjPK5uint4jjjj,False,False,False,False,False,False,False,False,False,False,False,False
ans-cuda,_Z47phase3_copy_num_symbols_from_aux_to_sync_pointsjP5uint4PKj,True,True,False,False,False,False,False,False,False,False,False,False
ans-cuda,_Z47phase3_copy_num_symbols_from_sync_points_to_auxjPK5uint4Pj,True,False,False,False,False,False,False,False,False,False,False,False
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,True,True,True,True,True,True,True,True,False,False,True,True
aobench-omp,_Z6renderPhiiiPK7_SphereRK6_Plane_l309,True,True,True,True,True,True,True,True,False,False,False,True
aop-cuda,_Z18prepare_svd_kernelILi256E9PayoffPutEviiT0_PKdPiPd,True,True,True,True,True,True,True,True,True,False,False,True
aop-cuda,_Z21generate_paths_kernelILi256E9PayoffPutEviiT0_ddddPKdPd,True,True,False,False,False,False,True,False,True,False,False,True
aop-cuda,_Z22update_cashflow_kernelILi128E9PayoffPutEviT0_dPKdS3_PKiPd,True,True,False,False,False,False,False,False,True,False,False,True
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,True,False,True,False,False,False,False,False,False,False,True,True
aop-cuda,_Z25compute_final_beta_kernelILi128EEvPKiPd,True,True,False,False,False,False,False,False,False,False,True,True
aop-cuda,_Z27compute_partial_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd,True,True,True,True,False,False,False,False,True,False,False,True
aop-cuda,_Z27compute_partial_sums_kernelILi128EEviPKdPd,True,True,False,False,False,False,False,False,False,False,False,True
aop-omp,_Z18prepare_svd_kernelILi256E9PayoffPutEviiiT0_PKdPiPd_l491,True,True,True,True,True,False,True,True,True,False,False,True
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,True,True,True,True,False,True,False,False,True,False,False,True
aop-omp,_Z21generate_paths_kernelILi256E9PayoffPutEviiT0_ddddPKdPd_l97,True,False,False,False,True,True,True,False,True,False,False,True
aop-omp,_Z22update_cashflow_kernelILi128E9PayoffPutEviiT0_dPKdS3_PKiPd_l744,True,True,False,False,False,False,False,False,True,False,False,True
asmooth-cuda,_Z15normalizeFilteriiPfPKf,True,True,True,False,False,False,False,False,True,False,True,True
asmooth-cuda,_Z15smoothingFilteriiiiPKfPiPf,True,True,True,False,False,False,False,False,True,False,True,True
asmooth-cuda,_Z9outFilteriiPKfPKiPf,True,True,True,False,False,False,False,False,True,False,True,True
asmooth-omp,main_l101,True,True,True,False,False,False,False,False,True,False,False,True
asmooth-omp,main_l60,True,True,True,False,False,True,False,False,True,False,False,True
assert-cuda,_Z10perfKernelv,True,True,False,False,False,False,False,False,False,False,True,True
assert-cuda,_Z10testKerneli,False,False,False,False,False,False,False,False,False,False,True,True
assert-cuda,_Z11perfKernel2v,True,True,False,False,False,False,False,False,False,False,True,True
assert-omp,_Z10perfKernelii_l31,True,True,False,False,False,False,False,False,False,False,False,False
assert-omp,_Z10testKerneliii_l22,True,True,False,False,False,False,False,False,False,False,True,True
asta-cuda,_Z15PTTWAC_soa_astaiiiPfPiS0_,True,True,False,True,False,False,False,False,True,False,True,True
asta-omp,main_l170,True,True,False,True,False,False,False,False,True,False,True,True
atan2-cuda,_Z9compute_fiPKfS0_Pf,True,True,False,False,True,False,False,True,True,False,True,True
atan2-cuda,_Z9compute_iiPKfS0_Pi,True,True,True,False,False,False,False,True,True,False,True,True
atan2-cuda,_Z9compute_siPKfS0_Ps,True,True,True,False,True,False,False,True,True,False,True,True
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,True,True,True,False,True,False,True,True,True,False,False,True
atan2-omp,_Z9compute_iiPKfS0_Pi_l306,True,True,True,False,True,False,False,True,True,False,False,True
atan2-omp,_Z9compute_siPKfS0_Ps_l289,True,True,True,False,True,False,True,True,True,False,False,True
atomicAggregate-cuda,_Z1kPii,True,True,False,True,False,False,False,True,False,False,True,True
atomicCAS-cuda,_Z16atomicMaxDerivedIdEvPT_,True,True,False,False,False,False,False,True,False,False,True,True
atomicCAS-cuda,_Z16atomicMaxDerivedIxEvPT_,True,True,False,False,False,False,False,True,False,False,True,True
atomicCAS-cuda,_Z16atomicMaxDerivedIyEvPT_,True,True,False,False,False,False,False,True,False,False,True,True
atomicCAS-cuda,_Z16atomicMinDerivedIdEvPT_,True,True,False,True,False,False,False,True,False,False,True,True
atomicCAS-cuda,_Z16atomicMinDerivedIxEvPT_,True,True,False,False,False,False,False,True,False,False,True,True
atomicCAS-cuda,_Z16atomicMinDerivedIyEvPT_,True,True,False,True,False,False,False,True,False,False,True,True
atomicCost-cuda,_Z19wiAtomicOnGlobalMemIdEvPT_i,True,False,False,True,False,False,False,False,False,False,True,True
atomicCost-cuda,_Z19wiAtomicOnGlobalMemIfEvPT_i,True,False,False,True,False,False,False,False,False,False,True,True
atomicCost-cuda,_Z19wiAtomicOnGlobalMemIiEvPT_i,True,False,False,True,False,False,False,False,False,False,False,True
atomicCost-cuda,_Z19woAtomicOnGlobalMemIdEvPT_i,True,False,False,True,False,False,False,False,False,False,True,True
atomicCost-cuda,_Z19woAtomicOnGlobalMemIfEvPT_i,True,False,False,True,False,False,False,False,False,False,True,True
atomicCost-cuda,_Z19woAtomicOnGlobalMemIiEvPT_i,True,False,False,False,False,False,False,False,False,False,False,True
atomicCost-omp,_Z19wiAtomicOnGlobalMemIdEvPT_ii_l26,True,False,False,True,False,False,False,False,False,False,False,True
atomicCost-omp,_Z19wiAtomicOnGlobalMemIfEvPT_ii_l26,True,False,False,True,False,False,False,False,False,False,False,True
atomicCost-omp,_Z19wiAtomicOnGlobalMemIiEvPT_ii_l26,True,False,False,True,False,False,False,False,False,False,False,True
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,True,False,False,True,False,False,False,False,False,False,False,True
atomicCost-omp,_Z19woAtomicOnGlobalMemIfEvPT_ii_l14,True,False,False,True,False,False,False,False,False,False,False,True
atomicCost-omp,_Z19woAtomicOnGlobalMemIiEvPT_ii_l14,True,False,False,True,False,False,False,False,False,False,False,True
atomicIntrinsics-cuda,_Z10testKernelIiEvPT_m,True,False,False,False,False,False,False,False,False,False,True,True
atomicIntrinsics-omp,_Z8testcaseIiEvii_l25,False,False,False,False,False,False,False,False,False,False,False,True
atomicIntrinsics-omp,_Z8testcaseIiEvii_l48,False,False,False,False,False,False,False,False,False,False,False,True
atomicIntrinsics-omp,_Z8testcaseIiEvii_l60,False,False,False,False,False,False,False,False,False,False,False,True
atomicIntrinsics-omp,_Z8testcaseIiEvii_l79,False,False,False,False,False,False,False,False,False,False,False,True
atomicIntrinsics-omp,_Z8testcaseIiEvii_l83,False,False,False,False,False,False,False,False,False,False,False,True
atomicPerf-cuda,_Z26WarpRangeAtomicOnGlobalMemIdEvPT_i,True,True,False,True,False,False,False,False,False,False,True,True
atomicPerf-cuda,_Z26WarpRangeAtomicOnGlobalMemIiEvPT_i,True,True,False,True,False,False,False,False,False,False,False,True
atomicPerf-cuda,_Z26WarpRangeAtomicOnSharedMemIdEvPT_i,True,True,False,False,False,False,False,False,False,False,True,True
atomicPerf-cuda,_Z27BlockRangeAtomicOnGlobalMemIdEvPT_i,True,True,False,True,False,False,False,False,False,False,True,True
atomicPerf-cuda,_Z27BlockRangeAtomicOnGlobalMemIiEvPT_i,True,True,False,True,False,False,False,False,False,False,True,True
atomicPerf-cuda,_Z27BlockRangeAtomicOnSharedMemIdEvPT_i,True,True,False,True,False,False,False,False,False,False,True,True
atomicPerf-cuda,_Z27BlockRangeAtomicOnSharedMemIiEvPT_i,True,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-cuda,_Z28SingleRangeAtomicOnGlobalMemIdEvPT_ii,True,False,False,True,False,False,False,False,False,False,True,True
atomicPerf-cuda,_Z28SingleRangeAtomicOnGlobalMemIiEvPT_ii,True,True,False,True,False,False,False,False,False,False,False,True
atomicPerf-cuda,_Z28SingleRangeAtomicOnSharedMemIdEvPT_ii,True,True,False,True,False,False,False,False,False,False,True,True
atomicPerf-omp,_Z26WarpRangeAtomicOnGlobalMemIdEvPT_i_l23,True,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z26WarpRangeAtomicOnGlobalMemIiEvPT_i_l23,True,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z26WarpRangeAtomicOnSharedMemIdEvPT_i_l66,True,True,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z27BlockRangeAtomicOnGlobalMemIdEvPT_i_l13,False,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z27BlockRangeAtomicOnGlobalMemIiEvPT_i_l13,True,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z27BlockRangeAtomicOnSharedMemIdEvPT_i_l43,True,True,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z28SingleRangeAtomicOnGlobalMemIdEvPT_ii_l33,True,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z28SingleRangeAtomicOnGlobalMemIiEvPT_ii_l33,True,False,False,True,False,False,False,False,False,False,False,True
atomicPerf-omp,_Z28SingleRangeAtomicOnSharedMemIdEvPT_ii_l89,True,True,False,True,False,False,False,False,False,False,False,True
atomicReduction-cuda,_Z16atomic_reductionPiS_i,True,True,False,False,False,False,False,False,True,False,True,True
atomicReduction-cuda,_Z19atomic_reduction_v2PiS_i,True,True,False,False,False,False,False,False,True,False,True,True
atomicReduction-cuda,_Z19atomic_reduction_v4PiS_i,True,True,False,False,False,False,False,False,True,False,False,False
atomicReduction-cuda,_Z19atomic_reduction_v8PiS_i,True,True,False,False,False,False,False,False,True,False,True,True
atomicReduction-cuda,_Z20atomic_reduction_v16PiS_i,True,True,False,False,False,False,False,False,True,False,True,True
atomicReduction-omp,main_l101,True,False,False,False,False,False,False,False,True,False,False,False
atomicReduction-omp,main_l122,False,False,False,False,False,False,False,False,True,False,False,False
atomicReduction-omp,main_l143,True,False,False,False,False,False,False,False,True,False,False,False
atomicReduction-omp,main_l165,True,False,False,False,False,False,False,False,True,False,True,True
atomicReduction-omp,main_l62,True,False,False,False,False,False,False,False,True,False,True,True
atomicReduction-omp,main_l78,True,False,False,False,False,False,False,False,True,False,True,True
atomicSystemWide-cuda,_Z12atomicKernelPii,True,False,False,False,False,False,False,False,False,False,True,True
attention-cuda,_Z17attention_kernel1PKfS0_PfS1_ii,True,True,False,False,False,False,True,False,True,False,True,True
attention-cuda,_Z17attention_kernel2PKfS0_Pfi,True,True,True,False,False,False,True,False,True,False,False,True
attention-cuda,_Z17attention_kernel3PKfS0_Pfii,True,False,False,False,False,False,False,False,True,False,True,True
attentionMultiHead-cuda,_Z3mhaPKfS0_S0_iiiiifiPf,True,True,True,False,False,False,True,True,True,False,True,True
axhelm-cuda,_Z9axhelm_n3iiPKfS0_S0_S0_Pf,True,False,False,True,True,False,False,False,True,False,True,True
axhelm-omp,main_l92,True,False,False,True,True,True,False,False,True,False,True,True
babelstream-cuda,_Z10add_kernelIfEvPKT_S2_PS0_,False,False,False,True,False,False,False,False,False,False,True,True
babelstream-cuda,_Z10dot_kernelIfEvPKT_S2_PS0_i,True,True,False,True,False,False,False,False,False,False,True,True
babelstream-cuda,_Z10mul_kernelIfEvPT_PKS0_,False,False,False,True,False,False,False,False,False,False,True,True
babelstream-cuda,_Z11copy_kernelIdEvPKT_PS0_,False,False,False,False,False,False,False,False,False,False,True,True
babelstream-cuda,_Z11copy_kernelIfEvPKT_PS0_,False,False,False,True,False,False,False,False,False,False,True,True
babelstream-cuda,_Z11init_kernelIdEvPT_S1_S1_S0_S0_S0_,False,False,False,False,False,False,False,False,False,False,False,True
babelstream-cuda,_Z11init_kernelIfEvPT_S1_S1_S0_S0_S0_,False,False,False,True,False,False,False,False,False,False,True,True
babelstream-cuda,_Z12triad_kernelIfEvPT_PKS0_S3_,False,False,False,True,False,False,False,False,False,False,True,True
babelstream-cuda,_Z14nstream_kernelIfEvPT_PKS0_S3_,False,False,False,True,False,False,False,False,False,False,True,True
babelstream-omp,_Z11init_arraysIfEvPT_S1_S1_S0_S0_S0__l71,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z3addIfEvPKT_S2_PS0__l104,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z3dotIfET_PKS0_S2__l139,True,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z3mulIdEvPT_PKS0__l93,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z3mulIfEvPT_PKS0__l93,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z4copyIdEvPKT_PS0__l84,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z4copyIfEvPKT_PS0__l84,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z5triadIfEvPT_PKS0_S3__l115,False,False,False,True,False,False,False,False,False,False,False,True
babelstream-omp,_Z7nstreamIfEvPT_PKS0_S3__l127,False,False,False,True,False,False,False,False,False,False,False,True
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,True,True,False,False,False,False,True,False,True,False,True,True
background-subtract-omp,_Z5mergemPKhS0_S0_PhS1__l69,True,True,False,True,False,False,True,False,True,False,False,True
backprop-cuda,_Z19kernel_layerforwardPKfPfS1_i,True,False,False,False,False,False,False,False,True,False,True,True
backprop-cuda,_Z21kernel_adjust_weightsPKfPfS0_S1_i,True,True,False,False,True,False,False,False,False,False,True,True
backprop-omp,_Z17bpnn_train_kernelP4BPNNPfS1__l78,True,False,False,True,True,False,False,False,True,False,False,True
bfs-cuda,_Z6KernelPK4NodePKiPcS4_PKcPii,True,True,False,True,False,False,False,False,False,True,False,True
bfs-cuda,_Z7Kernel2PcS_S_S_i,True,True,False,True,False,False,False,False,False,True,False,True
bfs-omp,_Z11run_bfs_gpuiP4NodeiPiPcS2_S2_S1__l83,True,True,False,True,False,False,False,False,False,True,False,True
bh-cuda,_Z10SortKerneliiPiPKiPViS_S_,True,True,False,False,False,False,False,False,False,False,False,True
bh-cuda,_Z12ClearKernel1iiPi,True,True,False,True,False,False,False,False,False,False,True,True
bh-cuda,_Z12ClearKernel2iPiP6float4S_,True,True,False,True,False,False,False,False,False,False,True,True
bh-cuda,_Z17BoundingBoxKerneliiPiS_P6float4P6float3S3_PfS_S_Pj,True,True,False,True,False,False,False,False,True,False,True,True
bh-cuda,_Z17IntegrationKerneliffP6float4P6float2S0_,True,True,False,False,False,False,False,False,False,False,True,True
bh-cuda,_Z18TreeBuildingKerneliiPViPK6float4PKfPi,True,True,False,True,False,False,False,False,True,False,True,True
bh-cuda,_Z19SummarizationKerneliiPViPKiPV6float4Pi,True,True,True,True,True,False,False,False,True,False,True,True
bh-cuda,_Z20InitializationKernelPiPj,False,False,False,False,False,False,False,False,False,False,True,True
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,True,True,False,True,False,False,True,False,True,False,True,True
bilateral-cuda,_Z15bilateralFilterILi3EEvPKfPfiifff,True,True,True,True,False,True,True,False,True,False,True,True
bilateral-cuda,_Z15bilateralFilterILi6EEvPKfPfiifff,True,True,True,True,False,True,True,False,True,False,True,True
bilateral-omp,_Z15bilateralFilterILi3EEvPKfPfiifff_l18,True,True,True,True,False,True,True,False,True,False,False,True
bilateral-omp,_Z15bilateralFilterILi6EEvPKfPfiifff_l18,True,True,True,True,False,True,True,False,True,False,False,True
bilateral-omp,_Z15bilateralFilterILi9EEvPKfPfiifff_l18,True,True,True,True,False,False,True,False,True,False,False,True
bincount-cuda,_Z8bincountIifiL16DeviceMemoryType0EEvPT_PKT0_T1_S3_S3_S6_S6_,True,True,True,True,False,False,False,True,True,False,False,True
bincount-cuda,_Z8bincountIifiL16DeviceMemoryType1EEvPT_PKT0_T1_S3_S3_S6_S6_,True,True,True,True,False,False,False,True,True,False,False,True
binomial-cuda,_Z21binomialOptionsKernelPK13__TOptionDataPf,True,True,False,True,False,False,True,True,True,False,False,True
binomial-omp,binomialOptionsGPU_l100,True,True,False,True,False,False,True,True,True,False,True,True
bitonic-sort-cuda,_Z12bitonic_sortiiPi,True,True,False,False,False,False,False,False,True,False,False,True
bitonic-sort-omp,_Z19ParallelBitonicSortPii_l66,True,True,False,False,False,False,False,False,True,False,False,True
bitpacking-cuda,_Z13bitPackKernelIijEvPKhPKT_PT0_S4_PKm,True,True,False,False,False,False,False,True,True,False,False,True
bitpacking-cuda,_Z23bitPackConfigScanKernelIiiEvPT_S1_PKT0_PKm,True,True,False,False,False,False,False,True,True,False,False,True
bitpacking-cuda,_Z27bitPackConfigFinalizeKernelIiiEvPKT_S2_PhPT0_PKm,True,True,False,False,False,False,False,True,False,False,True,True
bitpermute-cuda,_Z19bit_rev_permutationPlPKlj,True,True,False,True,False,False,False,True,False,False,True,True
bitpermute-cuda,_Z21bit_rev_permutation_zPlPKlj,True,True,False,True,False,False,False,True,False,False,False,False
black-scholes-cuda,_Z15getOutValOptionPK17optionInputStructPfi,True,True,True,True,False,False,True,True,False,False,False,False
black-scholes-omp,_Z29runBlackScholesAnalyticEnginei_l237,True,True,True,True,True,False,True,True,False,False,False,True
blockAccess-cuda,_Z6kernelILi256ELi1024EEvPKfPhj,True,True,False,True,False,False,False,True,True,False,False,True
blockAccess-cuda,_Z9referencePKfPhj,True,True,False,False,False,False,False,False,True,False,False,True
blockexchange-cuda,_Z1kILi256ELi1024EEvPKiPii,True,True,False,True,False,False,False,True,False,False,False,True
bn-omp,_Z13computeKerneliiPKfPKbiiPfPii_l105,True,True,True,False,False,False,True,True,False,False,False,False
bn-omp,_Z13findBestGraphPfPiS_Pb_l241,True,True,False,False,False,False,False,True,False,False,False,False
bn-omp,_Z13findBestGraphPfPiS_Pb_l244,True,True,True,True,False,False,True,True,False,False,False,False
bn-omp,_Z14genScoreKerneliPfPKiPKf_l21,True,True,False,False,False,False,False,True,False,False,False,True
bonds-cuda,_Z5bonds12inArgsStruct13resultsStructi,True,True,True,True,False,False,True,True,False,False,False,True
boxfilter-cuda,_Z10col_kernelPKjPjiiif,True,True,False,False,False,False,False,True,False,True,False,True
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,True,True,False,False,False,False,False,True,False,True,False,False
boxfilter-omp,_Z12BoxFilterGPUPjS_S_iiiff_l127,True,True,False,False,False,False,False,True,False,True,False,False
bsearch-cuda,_Z10kernel_BS2IfEvPKT_S2_Pmmm,True,True,False,False,False,False,False,False,True,False,True,True
bsearch-cuda,_Z10kernel_BS3IfEvPKT_S2_Pmmm,True,True,False,False,False,False,False,False,True,False,True,True
bsearch-cuda,_Z10kernel_BS4IfEvPKT_S2_Pmmm,True,True,False,False,False,False,False,False,True,False,False,True
bsearch-cuda,_Z9kernel_BSIfEvPKT_S2_Pmmm,True,True,False,False,False,False,False,False,True,False,True,True
bsearch-omp,_Z2bsIfEvmmPKT_S2_Pmmi_l21,True,True,False,False,False,False,False,False,True,False,False,True
bsearch-omp,_Z3bs3IfEvmmPKT_S2_Pmmi_l84,True,True,False,False,False,False,False,False,True,False,False,True
bsearch-omp,_Z3bs4IfEvmmPKT_S2_Pmmi_l117,True,True,False,False,False,False,False,False,True,False,False,True
bspline-vgh-cuda,_Z7bsplinePKflllPfS1_S1_S0_S0_S0_S0_S0_S0_S0_S0_S0_fffiiiii,True,True,False,False,True,False,False,True,False,False,True,True
bspline-vgh-omp,main_l245,True,False,False,False,True,False,False,False,False,False,False,True
btree-cuda,_ZN8GpuBTree7kernels10init_btreeI13PoolAllocatorEEvPjT_,True,True,False,True,False,False,False,False,False,False,True,True
burger-cuda,_Z4corePdS_PKdS1_iidddd,True,False,True,True,True,False,False,False,False,False,True,True
burger-cuda,_Z6updatePdS_PKdS1_i,True,False,False,False,False,False,False,False,False,False,True,True
burger-cuda,_Z7bound_hPdS_ii,True,False,False,True,False,False,False,False,False,False,True,True
burger-cuda,_Z7bound_vPdS_ii,True,False,False,True,False,False,False,False,False,False,False,True
