program_name,kernel_mangled_name,kernel_demangled_name,runtime,gpu,precision,expected_rai,balance_point,dist_pct,bound_class,proximity_band,hard,mixed,stratum
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,"row_kernel(const uchar4 *, unsigned int *, int, int, int, int, float, unsigned int)",cuda,A100,fp16,1.997763,50.141479,-96.02,BB,far,False,True,fp16|BB|far
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,"row_kernel(const uchar4 *, unsigned int *, int, int, int, int, float, unsigned int)",cuda,H100,fp16,0.998818,39.827381,-97.49,BB,far,False,True,fp16|BB|far
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,"ccsd_tengy_gpu(const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double, double *, double *, double *, double *, int, int, int):l43",omp,H100,fp16,0.000261,39.827381,-100.0,BB,far,True,True,fp16|BB|far
ced-cuda,_Z15gaussian_kernelPKhPhii,"gaussian_kernel(const unsigned char *, unsigned char *, int, int)",cuda,A100,fp16,3.87586,50.141479,-92.27,BB,far,False,True,fp16|BB|far
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,"compute_flux(int, int *, float *, float *, float *, float *, Float3 *, Float3 *, Float3 *, Float3 *)",cuda,A100,fp16,0.142626,50.141479,-99.72,BB,far,True,True,fp16|BB|far
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",cuda,A100,fp16,47.461214,50.141479,-5.35,BB,near,True,True,fp16|BB|near
all-pairs-distance-cuda,_Z2k3PKcPi,"k3(const char *, int *)",cuda,H100,fp16,27.821231,39.827381,-30.15,BB,near,False,False,fp16|BB|near
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,"ForceCalculationKernel(int, int, float, float, float, const int *, const int *, const float4 *, float2 *, float4 *, const float *, const int *)",cuda,H100,fp16,31.31781,39.827381,-21.37,BB,near,True,True,fp16|BB|near
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,"AIDW_Kernel(const float *, const float *, const float *, int, const float *, const float *, float *, int, float, const float *):l47",omp,H100,fp16,1188.191187,39.827381,2883.35,CB,far,True,True,fp16|CB|far
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,"render_kernel(unsigned char *, const _Sphere *, _Plane, int, int, int)",cuda,H100,fp16,3886.361694,39.827381,9658.01,CB,far,True,True,fp16|CB|far
atomicAggregate-cuda,_Z1kPii,"k(int *, int)",cuda,A100,fp16,18726.007812,50.141479,37246.34,CB,far,False,False,fp16|CB|far
atomicIntrinsics-omp,_Z8testcaseIiEvii_l48,"void testcase<int>(int, int):l48",omp,H100,fp16,41667.528522,39.827381,104520.31,CB,far,False,False,fp16|CB|far
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",cuda,H100,fp16,47.318169,39.827381,18.81,CB,near,True,True,fp16|CB|near
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,"compute_f(int, const float *, const float *, float *):l269",omp,3080,fp32,7.424677,40.197368,-81.53,BB,far,True,True,fp32|BB|far
attentionMultiHead-cuda,_Z3mhaPKfS0_S0_iiiiifiPf,"mha(const float *, const float *, const float *, int, int, int, int, int, float, int, float *)",cuda,3080,fp32,0.662154,40.197368,-98.35,BB,far,True,False,fp32|BB|far
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,"row_kernel(const uchar4 *, unsigned int *, int, int, int, int, float, unsigned int)",cuda,3080,fp32,11.715921,40.197368,-70.85,BB,far,False,True,fp32|BB|far
burger-omp,main_l77,main:l77,omp,3080,fp32,0.001901,40.197368,-100.0,BB,far,True,True,fp32|BB|far
burger-omp,main_l77,main:l77,omp,A10,fp32,0.001686,26.033333,-99.99,BB,far,True,True,fp32|BB|far
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,"compute_flux(int, int *, float *, float *, float *, float *, Float3 *, Float3 *, Float3 *, Float3 *)",cuda,3080,fp32,6.318502,40.197368,-84.28,BB,far,True,True,fp32|BB|far
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,"compute_f(int, const float *, const float *, float *):l269",omp,A100,fp32,7.904025,12.533762,-36.94,BB,near,True,True,fp32|BB|near
ced-cuda,_Z15gaussian_kernelPKhPhii,"gaussian_kernel(const unsigned char *, unsigned char *, int, int)",cuda,A10,fp32,13.926091,26.033333,-46.51,BB,near,False,True,fp32|BB|near
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,"compute_flux(int, int *, float *, float *, float *, float *, Float3 *, Float3 *, Float3 *, Float3 *)",cuda,A100,fp32,7.897665,12.533762,-36.99,BB,near,True,True,fp32|BB|near
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",cuda,3080,fp32,1080.48777,40.197368,2587.96,CB,far,True,True,fp32|CB|far
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",cuda,A10,fp32,973.677193,26.033333,3640.12,CB,far,True,True,fp32|CB|far
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",cuda,A100,fp32,1086.174495,12.533762,8565.99,CB,far,True,True,fp32|CB|far
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",cuda,H100,fp32,1082.915521,19.91369,5338.05,CB,far,True,True,fp32|CB|far
affine-omp,main_l80,main:l80,omp,A100,fp32,48.628389,12.533762,287.98,CB,far,True,True,fp32|CB|far
affine-omp,main_l80,main:l80,omp,H100,fp32,48.601208,19.91369,144.06,CB,far,True,True,fp32|CB|far
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,"AIDW_Kernel(const float *, const float *, const float *, int, const float *, const float *, float *, int, float, const float *):l47",omp,A10,fp32,18138.479912,26.033333,69574.06,CB,far,True,True,fp32|CB|far
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,"AIDW_Kernel(const float *, const float *, const float *, int, const float *, const float *, float *, int, float, const float *):l47",omp,H100,fp32,21086.373111,19.91369,105788.83,CB,far,True,True,fp32|CB|far
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,"render_kernel(unsigned char *, const _Sphere *, _Plane, int, int, int)",cuda,3080,fp32,12419.834513,40.197368,30797.13,CB,far,True,True,fp32|CB|far
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,"render_kernel(unsigned char *, const _Sphere *, _Plane, int, int, int)",cuda,A10,fp32,33449.453364,26.033333,128387.02,CB,far,True,True,fp32|CB|far
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,"render_kernel(unsigned char *, const _Sphere *, _Plane, int, int, int)",cuda,H100,fp32,61939.388774,19.91369,310939.23,CB,far,True,True,fp32|CB|far
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,"ForceCalculationKernel(int, int, float, float, float, const int *, const int *, const float4 *, float2 *, float4 *, const float *, const int *)",cuda,A10,fp32,60.160506,26.033333,131.09,CB,far,True,True,fp32|CB|far
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,"ForceCalculationKernel(int, int, float, float, float, const int *, const int *, const float4 *, float2 *, float4 *, const float *, const int *)",cuda,H100,fp32,86.486029,19.91369,334.3,CB,far,True,True,fp32|CB|far
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,"row_kernel(const uchar4 *, unsigned int *, int, int, int, int, float, unsigned int)",cuda,A100,fp32,21.975322,12.533762,75.33,CB,far,False,True,fp32|CB|far
affine-omp,main_l80,main:l80,omp,A10,fp32,30.500862,26.033333,17.16,CB,near,True,True,fp32|CB|near
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,"row_kernel(const uchar4 *, unsigned int *, int, int, int, int, float, unsigned int)",cuda,H100,fp32,21.973627,19.91369,10.34,CB,near,False,True,fp32|CB|near
ced-cuda,_Z15gaussian_kernelPKhPhii,"gaussian_kernel(const unsigned char *, unsigned char *, int, int)",cuda,A100,fp32,17.440932,12.533762,39.15,CB,near,False,True,fp32|CB|near
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,"void compute_final_sum_kernel<(int)128>(int, int, double, double *)",cuda,A100,fp64,0.555924,6.270096,-91.13,BB,far,True,True,fp64|BB|far
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,"void woAtomicOnGlobalMem<double>(T1 *, int, int):l14",omp,A100,fp64,1.019676,6.270096,-83.74,BB,far,False,True,fp64|BB|far
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,"void woAtomicOnGlobalMem<double>(T1 *, int, int):l14",omp,H100,fp64,1.025189,9.955357,-89.7,BB,far,False,True,fp64|BB|far
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,"merge(unsigned long, const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *, unsigned char *)",cuda,A100,fp64,0.590713,6.270096,-90.58,BB,far,True,False,fp64|BB|far
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,"merge(unsigned long, const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *, unsigned char *)",cuda,H100,fp64,0.628405,9.955357,-93.69,BB,far,True,False,fp64|BB|far
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,"ccsd_tengy_gpu(const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double, double *, double *, double *, double *, int, int, int):l43",omp,H100,fp64,2.262096,9.955357,-77.28,BB,far,True,True,fp64|BB|far
adv-omp,main_l72,main:l72,omp,H100,fp64,5.161492,9.955357,-48.15,BB,near,False,False,fp64|BB|near
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,"void compute_final_sum_kernel<(int)128>(int, int, double, double *)",cuda,3080,fp64,0.551724,0.627632,-12.09,BB,near,True,True,fp64|BB|near
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,"void compute_beta_kernel<(int)128, PayoffPut>(int, T2, const double *, const double *, const double *, const int *, double *):l648",omp,A100,fp64,4.509577,6.270096,-28.08,BB,near,True,True,fp64|BB|near
adv-omp,main_l72,main:l72,omp,A10,fp64,1.219982,0.406667,200.0,CB,far,False,False,fp64|CB|far
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,"void woAtomicOnGlobalMem<double>(T1 *, int, int):l14",omp,3080,fp64,1.000712,0.627632,59.44,CB,far,False,True,fp64|CB|far
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,"void woAtomicOnGlobalMem<double>(T1 *, int, int):l14",omp,A10,fp64,0.877251,0.406667,115.72,CB,far,False,True,fp64|CB|far
burger-omp,main_l77,main:l77,omp,A10,fp64,0.635418,0.406667,56.25,CB,far,True,True,fp64|CB|far
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,"ccsd_tengy_gpu(const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, double, double *, double *, double *, double *, int, int, int):l43",omp,3080,fp64,2.050759,0.627632,226.75,CB,far,True,True,fp64|CB|far
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,"void compute_final_sum_kernel<(int)128>(int, int, double, double *)",cuda,A10,fp64,0.46713,0.406667,14.87,CB,near,True,True,fp64|CB|near
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,"merge(unsigned long, const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *, unsigned char *)",cuda,A10,fp64,0.432548,0.406667,6.36,CB,near,True,False,fp64|CB|near
burger-omp,main_l77,main:l77,omp,3080,fp64,0.718353,0.627632,14.45,CB,near,True,True,fp64|CB|near
