program_name,kernel_mangled_name,gpu,model_name,evidence,precision,hard_easy,bound_class,proximity_band,n_trials,pred_rai_cv,pred_rai_logstd,bbcb_consistent,nz_consistent,mean_ape,std_ape
adjacent-omp,_Z18BlockAdjDiffKernelILi128EEvPKiPibi_l42,H100,GPT OSS,source+SASS,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,99.42570908030524,0.0
adjacent-omp,_Z18BlockAdjDiffKernelILi128EEvPKiPibi_l42,H100,GPT OSS,source-only,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
adv-omp,main_l72,A10,GPT OSS,source+SASS,fp64,easy,CB,far,4,0.45340639982294983,0.5789844905652709,1.0,1.0,759.0330288556493,389.4910729424441
adv-omp,main_l72,A10,GPT OSS,source-only,fp64,easy,CB,far,4,0.4702920626902488,0.4401761631596066,1.0,1.0,222.60997750317435,151.72091176442265
adv-omp,main_l72,H100,GPT OSS,source+SASS,fp64,easy,BB,near,4,0.0,0.0,1.0,1.0,92.03097987186372,0.0
adv-omp,main_l72,H100,GPT OSS,source-only,fp64,easy,BB,near,3,0.8011333020681461,0.8576743104413028,1.0,1.0,39.54017472830763,46.81081340805242
affine-omp,main_l80,A10,GPT OSS,source+SASS,fp32,hard,CB,near,4,0.0,0.0,1.0,1.0,154.0911791519555,0.0
affine-omp,main_l80,A10,GPT OSS,source-only,fp32,hard,CB,near,4,,,0.0,0.0,8.199315919293491,
affine-omp,main_l80,A100,GPT OSS,source+SASS,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,99.9993623163324,0.0
affine-omp,main_l80,A100,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,38.307641633245325,0.0
affine-omp,main_l80,A100,GPT OSS,source-only,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
affine-omp,main_l80,A100,GPT OSS,source-only,fp32,hard,CB,far,4,0.5459603918740525,0.4990765559412203,0.0,0.0,40.01717290584907,9.885664631420964
affine-omp,main_l80,H100,GPT OSS,source+SASS,fp16,hard,BB,far,4,0.6666666666666666,1.1989476363991853,1.0,0.0,26.232550714221954,49.178299523852026
affine-omp,main_l80,H100,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.3185378590078329,0.38807205006545664,1.0,1.0,22.786256534961257,17.18312860686387
affine-omp,main_l80,H100,GPT OSS,source-only,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
affine-omp,main_l80,H100,GPT OSS,source-only,fp32,hard,CB,far,4,0.564611920786083,0.7142506894685569,0.0,0.0,56.10534352661936,24.783446303680716
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,A10,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.34011089421072577,0.38350589766141363,1.0,1.0,57.73913957665665,14.373379028697977
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,A10,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,76.47267014281773,0.0
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,H100,GPT OSS,source+SASS,fp16,hard,CB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,H100,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.8430812923784529,0.6823098477222773,1.0,1.0,65.1501112164161,29.381289274909264
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,H100,GPT OSS,source-only,fp16,hard,CB,far,4,,,1.0,1.0,,
aidw-omp,_Z11AIDW_KernelPKfS0_S0_iS0_S0_PfifS0__l47,H100,GPT OSS,source-only,fp32,hard,CB,far,4,,,1.0,1.0,,
aligned-types-omp,_Z7runTestI14uchar4_alignedEiPhS1_ii_l196,A100,GPT OSS,source+SASS,fp16,easy,BB,far,3,0.0,0.0,1.0,1.0,12.507465531952471,0.0
aligned-types-omp,_Z7runTestI14uchar4_alignedEiPhS1_ii_l196,A100,GPT OSS,source-only,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
aligned-types-omp,_Z7runTestI17uchar4_misalignedEiPhS1_ii_l196,A100,GPT OSS,source+SASS,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,13.739386065186288,0.0
aligned-types-omp,_Z7runTestI17uchar4_misalignedEiPhS1_ii_l196,A100,GPT OSS,source-only,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
all-pairs-distance-cuda,_Z2k3PKcPi,H100,GPT OSS,source+SASS,fp16,easy,BB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
all-pairs-distance-cuda,_Z2k3PKcPi,H100,GPT OSS,source-only,fp16,easy,BB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,3080,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,234068.44485197574,0.0
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,3080,GPT OSS,source-only,fp32,hard,CB,far,4,0.6942742645933615,2.0380267212738827,1.0,1.0,252752.55372850617,175549.02079041206
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,A10,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,98.25541078591792,0.0
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,A10,GPT OSS,source-only,fp32,hard,CB,far,4,0.6823696998295045,3.916022507033945,1.0,1.0,82283.62566292737,56141.55235696837
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,H100,GPT OSS,source+SASS,fp16,hard,CB,far,3,0.0,0.0,1.0,1.0,100.0,0.0
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,H100,GPT OSS,source+SASS,fp32,hard,CB,far,3,0.0,0.0,1.0,1.0,78.79670635769423,0.0
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,H100,GPT OSS,source-only,fp16,hard,CB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
aobench-cuda,_Z13render_kernelPhPK7_Sphere6_Planeiii,H100,GPT OSS,source-only,fp32,hard,CB,far,4,0.6667929959569244,3.7619091075700246,1.0,1.0,45732.162855565155,30471.246061237736
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,3080,GPT OSS,source+SASS,fp64,hard,BB,near,3,0.19374713616884512,0.02558898975835861,1.0,1.0,72.18892051211901,5.388317004541058
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,3080,GPT OSS,source-only,fp64,hard,BB,near,4,0.21168550872267108,0.02624093987599062,1.0,1.0,73.99693051492476,5.504472992299118
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,A10,GPT OSS,source+SASS,fp64,hard,CB,near,3,0.22096099117111598,0.02864288288602584,1.0,1.0,67.86667283580967,7.100211819825238
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,A10,GPT OSS,source-only,fp64,hard,CB,near,3,0.0,0.0,1.0,1.0,71.06669386090148,0.0
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,A100,GPT OSS,source+SASS,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,A100,GPT OSS,source+SASS,fp64,hard,BB,far,4,0.03804227228429567,0.004304162849529233,1.0,1.0,76.99687681583923,0.8750910755610364
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,A100,GPT OSS,source-only,fp16,hard,BB,far,3,0.0,0.0,1.0,1.0,100.0,0.0
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,A100,GPT OSS,source-only,fp64,hard,BB,far,3,0.2850967198956594,0.03866526354405499,1.0,0.0,71.78472854109796,8.044081343898592
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,A100,GPT OSS,source+SASS,fp16,hard,BB,far,2,0.0,0.0,1.0,1.0,100.0,0.0
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,A100,GPT OSS,source+SASS,fp64,hard,BB,near,2,0.0,0.0,1.0,1.0,58.43133604419061,0.0
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,A100,GPT OSS,source-only,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,A100,GPT OSS,source-only,fp64,hard,BB,near,4,0.016758467210682235,0.010957342458759069,1.0,1.0,58.772301301649364,0.6909130368081952
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,3080,GPT OSS,source+SASS,fp32,hard,BB,far,4,0.19512810385993642,0.18063451609822015,1.0,1.0,33.28301532265453,26.007262056644436
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,3080,GPT OSS,source-only,fp32,hard,BB,far,3,0.08453686396128784,0.07588790376311182,1.0,1.0,27.57756694743915,10.785007421547755
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,A100,GPT OSS,source+SASS,fp16,hard,BB,far,3,0.0,0.0,1.0,1.0,100.0,0.0
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,A100,GPT OSS,source+SASS,fp32,hard,BB,near,3,0.09888396070432476,0.08834896331131403,1.0,1.0,19.840483241338024,11.850301635623758
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,A100,GPT OSS,source-only,fp16,hard,BB,far,3,0.0,0.0,1.0,1.0,100.0,0.0
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,A100,GPT OSS,source-only,fp32,hard,BB,near,3,0.03534797566467089,0.03170562743086897,1.0,1.0,20.54335997589133,4.260963754965473
atomicAggregate-cuda,_Z1kPii,A100,GPT OSS,source+SASS,fp16,easy,CB,far,3,1.7320508075688776,7.6035866156091725,0.0,0.0,966.5950750592391,1500.9866995915668
atomicAggregate-cuda,_Z1kPii,A100,GPT OSS,source-only,fp16,easy,CB,far,3,0.0,0.0,1.0,1.0,100.0,0.0
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,3080,GPT OSS,source-only,fp64,easy,CB,far,3,,,1.0,1.0,,
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,A10,GPT OSS,source+SASS,fp64,easy,CB,far,4,0.0,0.0,1.0,1.0,13.992486395482077,0.0
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,A10,GPT OSS,source-only,fp64,easy,CB,far,4,0.0,0.0,1.0,1.0,13.992486395482077,0.0
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,A100,GPT OSS,source+SASS,fp16,easy,BB,far,2,0.0,0.0,1.0,1.0,100.0,0.0
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,A100,GPT OSS,source+SASS,fp64,easy,BB,far,2,0.0,0.0,1.0,1.0,1.9296190151213355,0.0
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,A100,GPT OSS,source-only,fp16,easy,BB,far,4,,,1.0,1.0,100.0,
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,A100,GPT OSS,source-only,fp64,easy,BB,far,4,,,1.0,0.0,1.9296190151213355,
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,H100,GPT OSS,source+SASS,fp64,easy,BB,far,4,0.38490017945975047,0.23409538931324936,1.0,1.0,48.7714748607103,53.479290999711786
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,H100,GPT OSS,source-only,fp64,easy,BB,far,4,0.0,0.0,1.0,1.0,2.457050278579401,0.0
atomicIntrinsics-omp,_Z8testcaseIiEvii_l48,H100,GPT OSS,source+SASS,fp16,easy,CB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
atomicIntrinsics-omp,_Z8testcaseIiEvii_l48,H100,GPT OSS,source-only,fp16,easy,CB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
attentionMultiHead-cuda,_Z3mhaPKfS0_S0_iiiiifiPf,3080,GPT OSS,source+SASS,fp32,hard,BB,far,3,0.23988993917100943,0.0758664377846412,1.0,1.0,31.76429814072235,16.369058368313244
attentionMultiHead-cuda,_Z3mhaPKfS0_S0_iiiiifiPf,3080,GPT OSS,source-only,fp32,hard,BB,far,4,1.114863242611592,0.22653855639080336,1.0,1.0,62.08960977704986,42.264900572628996
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,A10,GPT OSS,source+SASS,fp64,hard,CB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,A10,GPT OSS,source-only,fp64,hard,CB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,A100,GPT OSS,source+SASS,fp64,hard,BB,far,4,0.0,0.0,1.0,1.0,153.9305945647496,0.0
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,A100,GPT OSS,source-only,fp64,hard,BB,far,4,0.0,0.0,1.0,1.0,103.14447565179967,0.0
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,H100,GPT OSS,source+SASS,fp64,hard,BB,far,4,0.0,0.0,1.0,1.0,7.939243895748302,0.0
background-subtract-cuda,_Z5mergemPKhS0_S0_PhS1_,H100,GPT OSS,source-only,fp64,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,A10,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,95.09508832896626,0.0
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,A10,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,99.80723766321044,0.0
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,H100,GPT OSS,source+SASS,fp16,hard,BB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,H100,GPT OSS,source+SASS,fp32,hard,CB,far,4,1.8243124303461438,0.787045932123722,1.0,1.0,98.664379177992,2.436589667818332
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,H100,GPT OSS,source-only,fp16,hard,BB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
bh-cuda,_Z22ForceCalculationKerneliifffPKiS0_PK6float4P6float2PS1_PKfS0_,H100,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,99.83314785181761,0.0
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,3080,GPT OSS,source+SASS,fp32,easy,BB,far,4,1.2124355652982142,1.047162339592457,1.0,0.0,80.27799946184605,6.495766480487518
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,3080,GPT OSS,source-only,fp32,easy,BB,far,4,0.374329628581528,0.36357156379001865,1.0,1.0,44.773360364327786,44.573421486272515
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,A100,GPT OSS,source+SASS,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,A100,GPT OSS,source+SASS,fp32,easy,CB,far,4,0.0,0.0,1.0,1.0,0.11229886073058144,0.0
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,A100,GPT OSS,source-only,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,A100,GPT OSS,source-only,fp32,easy,CB,far,4,0.0,0.0,1.0,1.0,0.11229886073058144,0.0
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,H100,GPT OSS,source+SASS,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,H100,GPT OSS,source+SASS,fp32,easy,CB,near,4,0.15568862275449102,0.16170886109112503,0.0,1.0,7.2909002670155,14.341760765821485
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,H100,GPT OSS,source-only,fp16,easy,BB,far,4,,,1.0,1.0,,
boxfilter-cuda,_Z10row_kernelPK6uchar4Pjiiiifj,H100,GPT OSS,source-only,fp32,easy,CB,near,4,,,1.0,1.0,,
burger-omp,main_l77,3080,GPT OSS,source+SASS,fp32,hard,BB,far,3,0.0,0.0,1.0,1.0,100.0,0.0
burger-omp,main_l77,3080,GPT OSS,source+SASS,fp64,hard,CB,near,3,0.0833524823936611,0.022956843718328238,1.0,1.0,46.834786650032136,4.431452509708436
burger-omp,main_l77,3080,GPT OSS,source-only,fp32,hard,BB,far,2,,,1.0,1.0,100.0,
burger-omp,main_l77,3080,GPT OSS,source-only,fp64,hard,CB,near,2,,,1.0,0.0,21.69588379585578,
burger-omp,main_l77,A10,GPT OSS,source+SASS,fp32,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
burger-omp,main_l77,A10,GPT OSS,source+SASS,fp64,hard,CB,far,4,0.17557629854370987,0.049926834242880476,0.0,1.0,36.484503989126665,11.151815689756912
burger-omp,main_l77,A10,GPT OSS,source-only,fp32,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
burger-omp,main_l77,A10,GPT OSS,source-only,fp64,hard,CB,far,4,0.2910844313845226,0.08322684013365811,0.0,1.0,36.53412240546157,18.47392889192593
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,3080,GPT OSS,source+SASS,fp64,hard,CB,far,3,0.0,1.3597399555105182e-16,1.0,1.0,17.798636900604933,0.0
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,3080,GPT OSS,source-only,fp64,hard,CB,far,3,0.17320508075688779,0.09983977771171994,1.0,1.0,29.242800028269926,12.255506535234767
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,H100,GPT OSS,source+SASS,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,H100,GPT OSS,source+SASS,fp64,hard,BB,far,4,0.0,0.0,1.0,1.0,20.429191821672852,0.0
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,H100,GPT OSS,source-only,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
ccsd-trpdrv-omp,_Z14ccsd_tengy_gpuPKdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dPdS1_S1_S1_iii_l43,H100,GPT OSS,source-only,fp64,hard,BB,far,4,0.15060101007509222,0.09879195861294013,1.0,1.0,25.242951634368293,11.258486994096659
ced-cuda,_Z15gaussian_kernelPKhPhii,A10,GPT OSS,source-only,fp32,easy,BB,near,4,0.3805187619751856,0.36380299141524464,1.0,1.0,29.292820207725306,12.728818755999317
ced-cuda,_Z15gaussian_kernelPKhPhii,A100,GPT OSS,source+SASS,fp16,easy,BB,far,1,,,,,,
ced-cuda,_Z15gaussian_kernelPKhPhii,A100,GPT OSS,source+SASS,fp32,easy,CB,near,1,,,,,,
ced-cuda,_Z15gaussian_kernelPKhPhii,A100,GPT OSS,source-only,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
ced-cuda,_Z15gaussian_kernelPKhPhii,A100,GPT OSS,source-only,fp32,easy,CB,near,4,0.5232123608010042,0.5739546124670478,0.0,1.0,36.66516825877173,33.13756683626241
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,3080,GPT OSS,source+SASS,fp32,hard,BB,far,4,0.0,0.0,1.0,1.0,72.9916712987827,0.0
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,3080,GPT OSS,source-only,fp32,hard,BB,far,4,0.6357031048166784,0.46971121885291767,1.0,0.0,48.79941501962538,32.54837084045433
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,A100,GPT OSS,source+SASS,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,A100,GPT OSS,source+SASS,fp32,hard,BB,near,4,0.14395886889460155,0.12651337873320923,1.0,1.0,41.36301661564965,8.441313803402625
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,A100,GPT OSS,source-only,fp16,hard,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
cfd-cuda,_Z12compute_fluxiPiPfS0_S0_S0_P6Float3S2_S2_S2_,A100,GPT OSS,source-only,fp32,hard,BB,near,4,0.2924596974221617,0.26878718710727767,1.0,1.0,44.27530512701051,16.297227401496784
