program_name,kernel_mangled_name,gpu,model_name,use_sass,cost_usd
accuracy-omp,main_l57,H100,Opus 4.6,True,0.15115
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,3080,GPT 5.4,False,0.032148
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,3080,GPT 5.4,True,0.061815
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,3080,GPT OSS,False,0.001174071
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,3080,GPT OSS,True,0.001635879
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,3080,Opus 4.6,False,0.19158
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,3080,Opus 4.6,True,0.24997
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A10,GPT 5.4,False,0.029883
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A10,GPT 5.4,True,0.056424
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A10,GPT OSS,False,0.00388455
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A10,GPT OSS,True,0.001733071
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A10,Opus 4.6,False,0.128445
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A10,Opus 4.6,True,0.206035
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A100,GPT 5.4,False,0.0284505
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A100,GPT 5.4,True,0.0570715
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A100,GPT OSS,True,0.001695078
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A100,Opus 4.6,False,0.14056
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,A100,Opus 4.6,True,0.2248
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,H100,GPT 5.4,False,0.03851
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,H100,GPT 5.4,True,0.0571865
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,H100,GPT OSS,False,0.00400485
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,H100,GPT OSS,True,0.001780298
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,H100,Opus 4.6,False,0.159335
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,H100,Opus 4.6,True,0.198845
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,3080,GPT 5.4,False,0.029638
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,3080,GPT 5.4,True,0.0498515
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,3080,GPT OSS,False,0.00313785
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,3080,GPT OSS,True,0.001147836
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,3080,Opus 4.6,False,0.118105
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,3080,Opus 4.6,True,0.15908
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A10,GPT 5.4,False,0.029983
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A10,GPT 5.4,True,0.0461165
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A10,GPT OSS,False,0.00372585
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A10,GPT OSS,True,0.001316278
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A10,Opus 4.6,False,0.111345
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A10,Opus 4.6,True,0.167595
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A100,GPT 5.4,False,0.0348925
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A100,GPT 5.4,True,0.046534
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A100,GPT OSS,False,0.0033687
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A100,GPT OSS,True,0.001334597
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A100,Opus 4.6,False,0.121385
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,A100,Opus 4.6,True,0.1613
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,H100,GPT 5.4,False,0.029313
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,H100,GPT 5.4,True,0.045149
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,H100,GPT OSS,True,0.001260857
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,H100,Opus 4.6,False,0.11601
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,H100,Opus 4.6,True,0.15989
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,3080,GPT 5.4,False,0.026253
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,3080,GPT 5.4,True,0.0299365
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,3080,GPT OSS,False,0.000702037
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,3080,GPT OSS,True,0.0028332
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,3080,Opus 4.6,False,0.094535
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,3080,Opus 4.6,True,0.099195
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A10,GPT 5.4,False,0.025443
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A10,GPT 5.4,True,0.0307915
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A10,Opus 4.6,False,0.10985
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A10,Opus 4.6,True,0.09671
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A100,GPT 5.4,False,0.0258405
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A100,GPT 5.4,True,0.0323365
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A100,GPT OSS,False,0.000797636
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A100,GPT OSS,True,0.0027492
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A100,Opus 4.6,False,0.11614
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,A100,Opus 4.6,True,0.11034
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,H100,GPT 5.4,False,0.026348
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,H100,GPT 5.4,True,0.029259
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,H100,GPT OSS,False,0.000723877
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,H100,GPT OSS,True,0.000816381
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,H100,Opus 4.6,False,0.097415
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,H100,Opus 4.6,True,0.099005
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,3080,GPT 5.4,False,0.032185
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,3080,GPT 5.4,True,0.030609
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,3080,GPT OSS,False,0.000706709
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,3080,GPT OSS,True,0.00272235
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,3080,Opus 4.6,False,0.103585
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,3080,Opus 4.6,True,0.09676
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A10,GPT 5.4,False,0.025513
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A10,GPT 5.4,True,0.029634
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A10,GPT OSS,False,0.000806941
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A10,GPT OSS,True,0.000803605
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A10,Opus 4.6,False,0.111675
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A10,Opus 4.6,True,0.11705
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A100,GPT 5.4,False,0.0266755
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A100,GPT 5.4,True,0.0322665
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A100,GPT OSS,False,0.000686408
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A100,GPT OSS,True,0.0025764
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A100,Opus 4.6,False,0.091715
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,A100,Opus 4.6,True,0.11694
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,H100,GPT 5.4,False,0.033
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,H100,GPT 5.4,True,0.031449
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,H100,GPT OSS,False,0.000648559
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,H100,Opus 4.6,False,0.089215
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,H100,Opus 4.6,True,0.106165
ace-cuda,_Z8swapGridPA400_A400_dS1_,3080,GPT 5.4,False,0.0264855
ace-cuda,_Z8swapGridPA400_A400_dS1_,3080,GPT 5.4,True,0.0359425
ace-cuda,_Z8swapGridPA400_A400_dS1_,3080,GPT OSS,False,0.000663964
ace-cuda,_Z8swapGridPA400_A400_dS1_,3080,GPT OSS,True,0.0026376
ace-cuda,_Z8swapGridPA400_A400_dS1_,3080,Opus 4.6,False,0.08298
ace-cuda,_Z8swapGridPA400_A400_dS1_,3080,Opus 4.6,True,0.089705
ace-cuda,_Z8swapGridPA400_A400_dS1_,A10,GPT 5.4,False,0.0268755
ace-cuda,_Z8swapGridPA400_A400_dS1_,A10,GPT 5.4,True,0.0295465
ace-cuda,_Z8swapGridPA400_A400_dS1_,A10,GPT OSS,False,0.000688386
ace-cuda,_Z8swapGridPA400_A400_dS1_,A10,GPT OSS,True,0.002511
ace-cuda,_Z8swapGridPA400_A400_dS1_,A10,Opus 4.6,False,0.083245
ace-cuda,_Z8swapGridPA400_A400_dS1_,A10,Opus 4.6,True,0.08992
ace-cuda,_Z8swapGridPA400_A400_dS1_,A100,GPT 5.4,False,0.027348
ace-cuda,_Z8swapGridPA400_A400_dS1_,A100,GPT 5.4,True,0.0298915
ace-cuda,_Z8swapGridPA400_A400_dS1_,A100,GPT OSS,False,0.000615543
ace-cuda,_Z8swapGridPA400_A400_dS1_,A100,Opus 4.6,False,0.082185
ace-cuda,_Z8swapGridPA400_A400_dS1_,A100,Opus 4.6,True,0.092755
ace-cuda,_Z8swapGridPA400_A400_dS1_,H100,GPT 5.4,False,0.0268805
ace-cuda,_Z8swapGridPA400_A400_dS1_,H100,GPT 5.4,True,0.0292765
ace-cuda,_Z8swapGridPA400_A400_dS1_,H100,GPT OSS,True,0.0027804
ace-cuda,_Z8swapGridPA400_A400_dS1_,H100,Opus 4.6,False,0.079585
ace-cuda,_Z8swapGridPA400_A400_dS1_,H100,Opus 4.6,True,0.09087
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,3080,GPT 5.4,False,0.0307405
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,3080,GPT 5.4,True,0.061424
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,3080,GPT OSS,False,0.0041271
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,3080,GPT OSS,True,0.00692805
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,3080,Opus 4.6,False,0.213845
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,3080,Opus 4.6,True,0.210365
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A10,GPT 5.4,False,0.0299905
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A10,GPT 5.4,True,0.059234
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A10,GPT OSS,False,0.001307198
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A10,GPT OSS,True,0.00593985
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A10,Opus 4.6,False,0.129785
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A10,Opus 4.6,True,0.196905
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A100,GPT 5.4,False,0.032608
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A100,GPT 5.4,True,0.0603715
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A100,GPT OSS,False,0.00432435
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A100,Opus 4.6,False,0.135475
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,A100,Opus 4.6,True,0.20648
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,H100,GPT 5.4,False,0.0308805
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,H100,GPT 5.4,True,0.0614665
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,H100,Opus 4.6,False,0.162325
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,H100,Opus 4.6,True,0.220475
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,3080,GPT 5.4,False,0.032623
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,3080,GPT 5.4,True,0.060344
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,3080,GPT OSS,False,0.00347055
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,3080,GPT OSS,True,0.001075391
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,3080,Opus 4.6,False,0.17811
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,3080,Opus 4.6,True,0.20368
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A10,GPT 5.4,False,0.0337
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A10,GPT 5.4,True,0.063914
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A10,GPT OSS,False,0.00369645
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A10,GPT OSS,True,0.000938751
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A10,Opus 4.6,False,0.245445
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A10,Opus 4.6,True,0.21579
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A100,GPT 5.4,False,0.0305755
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A100,GPT 5.4,True,0.0614415
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A100,GPT OSS,False,0.0034857
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A100,GPT OSS,True,0.001622398
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A100,Opus 4.6,False,0.16671
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,A100,Opus 4.6,True,0.203905
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,H100,GPT 5.4,False,0.029838
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,H100,GPT 5.4,True,0.0603915
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,H100,Opus 4.6,False,0.124335
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,H100,Opus 4.6,True,0.252685
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,3080,GPT 5.4,False,0.030053
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,3080,GPT 5.4,True,0.048534
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,3080,GPT OSS,False,0.000572021
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,3080,GPT OSS,True,0.001214459
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,3080,Opus 4.6,False,0.130835
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,3080,Opus 4.6,True,0.22213
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A10,GPT 5.4,False,0.030518
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A10,GPT 5.4,True,0.050589
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A10,GPT OSS,False,0.00165795
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A10,GPT OSS,True,0.001188209
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A10,Opus 4.6,False,0.119395
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A10,Opus 4.6,True,0.193815
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A100,GPT 5.4,False,0.0296405
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A100,GPT 5.4,True,0.0503865
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A100,GPT OSS,True,0.00138584
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A100,Opus 4.6,False,0.13301
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,A100,Opus 4.6,True,0.204415
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,H100,GPT 5.4,False,0.029548
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,H100,GPT 5.4,True,0.0520215
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,H100,GPT OSS,True,0.0045363
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,H100,Opus 4.6,False,0.11531
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,H100,Opus 4.6,True,0.18399
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,3080,GPT 5.4,False,0.026773
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,3080,GPT 5.4,True,0.034494
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,3080,GPT OSS,False,0.00256755
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,3080,GPT OSS,True,0.00327015
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,3080,Opus 4.6,False,0.09674
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,3080,Opus 4.6,True,0.11124
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A10,GPT 5.4,False,0.03232
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A10,GPT 5.4,True,0.033624
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A10,GPT OSS,False,0.00233325
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A10,GPT OSS,True,0.00261705
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A10,Opus 4.6,False,0.09115
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A10,Opus 4.6,True,0.1088
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A100,GPT 5.4,False,0.0266155
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A100,GPT 5.4,True,0.0344665
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A100,GPT OSS,True,0.0031365
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A100,Opus 4.6,False,0.10524
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,A100,Opus 4.6,True,0.116745
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,H100,GPT 5.4,False,0.025653
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,H100,GPT 5.4,True,0.034649
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,H100,GPT OSS,False,0.00248595
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,H100,GPT OSS,True,0.00274275
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,H100,Opus 4.6,False,0.092015
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,H100,Opus 4.6,True,0.123285
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,3080,GPT 5.4,False,0.03089
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,3080,GPT 5.4,True,0.033764
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,3080,GPT OSS,False,0.000675497
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,3080,GPT OSS,True,0.000756539
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,3080,Opus 4.6,False,0.090365
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,3080,Opus 4.6,True,0.12027
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A10,GPT 5.4,False,0.026393
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A10,GPT 5.4,True,0.033779
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A10,GPT OSS,False,0.000646777
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A10,GPT OSS,True,0.00269055
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A10,Opus 4.6,False,0.1019
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A10,Opus 4.6,True,0.10908
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A100,GPT 5.4,False,0.0319025
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A100,GPT 5.4,True,0.0349515
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A100,GPT OSS,True,0.0025689
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A100,Opus 4.6,False,0.103765
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,A100,Opus 4.6,True,0.11971
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,H100,GPT 5.4,False,0.026308
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,H100,GPT 5.4,True,0.0362765
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,H100,GPT OSS,False,0.000664525
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,H100,Opus 4.6,False,0.09409
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,H100,Opus 4.6,True,0.137815
ace-omp,_Z8swapGridPA400_A400_dS1__l261,3080,GPT 5.4,False,0.026858
