"source","exePath","kernel_executed","eteProfilerXtime","CC","Kernel Name","traffic","dpAI","spAI","hpAI","dpPerf","spPerf","hpPerf","xtime","Block Size","Grid Size","device","SP_FLOP","DP_FLOP","HP_FLOP","INTOP","intPerf","intAI","targetName","exeArgs","runtime","kernelMangled","kernelName","kernelDemangled","kernelProfiler"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","normal",14.858219705999545,8.6,"__omp_offloading_10305_2b800c7__Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214",120950823677.79,2.247940340921449,0.12060608894409343,0.0,271890235812.9813,14587405798.344902,0.0,25930528.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",378259134.0,7050257372.0,0.0,7484785357.0,288647626342.2017,2.386487479499535,"ace","100","omp","__omp_offloading_10305_2b800c7__Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214","__omp_offloading_10305_2b800c7__Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214","Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd:l214","__omp_offloading_10305_2b800c7__Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","normal",14.858219705999545,8.6,"__omp_offloading_10305_2b800c7__Z19boundaryConditionsUPA400_A400_dd_l230",29098532494.76,0.0,0.0,0.0,0.0,0.0,0.0,549504.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,2243038020.0,4081932106044.7236,140.27965522934153,"ace","100","omp","__omp_offloading_10305_2b800c7__Z19boundaryConditionsUPA400_A400_dd_l230","__omp_offloading_10305_2b800c7__Z19boundaryConditionsUPA400_A400_dd_l230","Z19boundaryConditionsUPA400_A400_dd:l230","__omp_offloading_10305_2b800c7__Z19boundaryConditionsUPA400_A400_dd_l230"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","normal",14.858219705999545,8.6,"__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261",669234208754.21,0.0,0.0,0.0,0.0,0.0,0.0,3088800.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,1474707600.0,477437062937.0629,0.7134080366659971,"ace","100","omp","__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261","__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261","Z8swapGridPA400_A400_dS1_:l261","__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","normal",14.858219705999545,8.6,"__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261",672766495273.55,0.0,0.0,0.0,0.0,0.0,0.0,3043296.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,1474707600.0,484575802025.1727,0.7202733867240846,"ace","100","omp","__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261","__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261","Z8swapGridPA400_A400_dS1_:l261","__omp_offloading_10305_2b800c7__Z8swapGridPA400_A400_dS1__l261"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","not profiled",14.858219705999545,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ace","100","omp","__omp_offloading_10305_2b800c7__Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd_l160","__omp_offloading_10305_2b800c7__Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd_l160","Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd:l160","__omp_offloading_10305_2b800c7__Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd_l160"
"adam-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adam","normal",3.637611674999789,8.6,"_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf",1948975925.26,0.0,1065.3521400367263,0.0,0.0,2076345672855.7998,0.0,89056.0,"(256, 1, 1)","(40, 1, 1)","NVIDIA GeForce RTX 3080",184911040.0,0.0,0.0,24340720.0,273319259791.59177,140.2373709439895,"adam","10000 200 100","cuda","_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf","void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)","void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)","void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)"
"adam-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/adam","normal",3.3391546339998968,8.6,"__omp_offloading_10305_2b800de__Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf_l25",1639867841.41,0.0,1042.988341308122,0.0,0.0,1710363039876.7466,0.0,116224.0,"(256, 1, 1)","(40, 1, 1)","NVIDIA GeForce RTX 3080",198785233.0,0.0,0.0,18600600.0,160040955396.47577,97.59381296170092,"adam","10000 200 100","omp","__omp_offloading_10305_2b800de__Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf_l25","__omp_offloading_10305_2b800de__Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf_l25","Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf:l25","__omp_offloading_10305_2b800de__Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf_l25"
"adamw-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adamw","normal",6.1913300999995045,8.6,"_Z17fused_4bit_kernelIfLi64EEvPT_PKS0_S1_S1_PaS4_fffffflffffff",425909626719.06,0.0,4.252422223158518,0.0,0.0,1811147561717.2793,0.0,65152.0,"(64, 1, 1)","(15625, 1, 1)","NVIDIA GeForce RTX 3080",117999885.0,0.0,0.0,147894319.0,2269988933570.727,5.329743192369928,"adamw","1000000 100","cuda","_Z17fused_4bit_kernelIfLi64EEvPT_PKS0_S1_S1_PaS4_fffffflffffff","void fused_4bit_kernel<float, (int)64>(T1 *, const T1 *, T1 *, T1 *, signed char *, signed char *, float, float, float, float, float, float, long, float, float, float, float, float, float)","void fused_4bit_kernel<float, (int)64>(T1 *, const T1 *, T1 *, T1 *, signed char *, signed char *, float, float, float, float, float, float, long, float, float, float, float, float, float)","void fused_4bit_kernel<float, (int)64>(T1 *, const T1 *, T1 *, T1 *, signed char *, signed char *, float, float, float, float, float, float, long, float, float, float, float, float, float)"
"adamw-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/adamw","normal",2.3702374590002364,8.6,"__omp_offloading_10305_2b800f7__Z17fused_4bit_kernelIfLi64EEviiPT_PKS0_S1_S1_PaS4_fffffflffffff_l135",103280941624.06,0.0,3.8851254154324795,0.0,0.0,401259411233.4338,0.0,269152.0,"(128, 1, 1)","(15625, 1, 1)","NVIDIA GeForce RTX 3080",107999773.0,0.0,0.0,343046539.0,1274545754815.1228,12.340570629714405,"adamw","1000000 100","omp","__omp_offloading_10305_2b800f7__Z17fused_4bit_kernelIfLi64EEviiPT_PKS0_S1_S1_PaS4_fffffflffffff_l135","__omp_offloading_10305_2b800f7__Z17fused_4bit_kernelIfLi64EEviiPT_PKS0_S1_S1_PaS4_fffffflffffff_l135","Z17fused_4bit_kernelIfLi64EEviiPT_PKS0_S1_S1_PaS4_fffffflffffff:l135","__omp_offloading_10305_2b800f7__Z17fused_4bit_kernelIfLi64EEviiPT_PKS0_S1_S1_PaS4_fffffflffffff_l135"
"addBiasQKV-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasQKV","normal",1.773683032000008,8.6,"_Z22FP8TrtAddQKVBiasKernel21FP8TrtAddQKVBiasParamI13__nv_fp8_e4m313__nv_bfloat16E",251438444924.41,0.0,0.0,4.053213536388608,0.0,0.0,1019133708536.12,148160.0,"(16, 12, 3)","(8192, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,150994850.0,495452160.0,3344034557235.421,13.299615173171862,"addBiasQKV","","cuda","_Z22FP8TrtAddQKVBiasKernel21FP8TrtAddQKVBiasParamI13__nv_fp8_e4m313__nv_bfloat16E","FP8TrtAddQKVBiasKernel(FP8TrtAddQKVBiasParam<__nv_fp8_e4m3, __nv_bfloat16>)","FP8TrtAddQKVBiasKernel(FP8TrtAddQKVBiasParam<__nv_fp8_e4m3, __nv_bfloat16>)","FP8TrtAddQKVBiasKernel(FP8TrtAddQKVBiasParam<__nv_fp8_e4m3, __nv_bfloat16>)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","normal",20.04137456599983,8.6,"_Z28addBiasResidualPostLayerNormI6__halfLi1EEvPT_PKS1_S4_S4_S4_fi",203990772779.7,0.0,5.202970801217272,1.8527418351056821,0.0,1061358034490.5261,377942238704.4876,27744.0,"(256, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",29446317.0,0.0,10485629.0,19922944.0,718099192618.2238,3.520253307701008,"addBiasResidualLayerNorm","10000","cuda","_Z28addBiasResidualPostLayerNormI6__halfLi1EEvPT_PKS1_S4_S4_S4_fi","void addBiasResidualPostLayerNorm<__half, (int)1>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__half, (int)1>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__half, (int)1>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","normal",20.04137456599983,8.6,"_Z28addBiasResidualPostLayerNormI6__halfLi2EEvPT_PKS1_S4_S4_S4_fi",370199407699.9,0.0,3.152802076729433,1.7475604360065753,0.0,1167165461400.2507,646945838329.4132,32416.0,"(256, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",37834835.0,0.0,20971396.0,35651584.0,1099814412635.7354,2.9708702654848476,"addBiasResidualLayerNorm","10000","cuda","_Z28addBiasResidualPostLayerNormI6__halfLi2EEvPT_PKS1_S4_S4_S4_fi","void addBiasResidualPostLayerNorm<__half, (int)2>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__half, (int)2>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__half, (int)2>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","normal",20.04137456599983,8.6,"_Z35generalAddBiasResidualPostLayerNormI6__halfEvPT_PKS1_S4_S4_S4_fi",587245627376.43,0.0,2.210002653891293,2.0367666504055397,0.0,1297814394987.9678,1196082309436.7913,42080.0,"(256, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",54612029.0,0.0,50331143.0,51511296.0,1224127756653.9922,2.0845242596745885,"addBiasResidualLayerNorm","10000","cuda","_Z35generalAddBiasResidualPostLayerNormI6__halfEvPT_PKS1_S4_S4_S4_fi","void generalAddBiasResidualPostLayerNorm<__half>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void generalAddBiasResidualPostLayerNorm<__half>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void generalAddBiasResidualPostLayerNorm<__half>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","normal",20.04137456599983,8.6,"_Z30addBiasResidualPostLayerNormV2I6__halfEvPT_PKS1_S4_S4_S4_fi",445291666666.67,0.0,0.8548593142363088,1.820537497191319,0.0,380661728801.8125,810670176353.4905,12288.0,"(32, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",4677571.0,0.0,9961515.0,5111808.0,415999999999.99994,0.9342191447553031,"addBiasResidualLayerNorm","10000","cuda","_Z30addBiasResidualPostLayerNormV2I6__halfEvPT_PKS1_S4_S4_S4_fi","void addBiasResidualPostLayerNormV2<__half>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNormV2<__half>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNormV2<__half>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","timeout",20.04137456599983,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","addBiasResidualLayerNorm","10000","cuda","_Z35generalAddBiasResidualPostLayerNormI13__nv_bfloat16EvPT_PKS1_S4_S4_S4_fi","void generalAddBiasResidualPostLayerNorm<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void generalAddBiasResidualPostLayerNorm<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void generalAddBiasResidualPostLayerNorm<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","timeout",20.04137456599983,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","addBiasResidualLayerNorm","10000","cuda","_Z28addBiasResidualPostLayerNormI13__nv_bfloat16Li2EEvPT_PKS1_S4_S4_S4_fi","void addBiasResidualPostLayerNorm<__nv_bfloat16, (int)2>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__nv_bfloat16, (int)2>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__nv_bfloat16, (int)2>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","timeout",20.04137456599983,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","addBiasResidualLayerNorm","10000","cuda","_Z28addBiasResidualPostLayerNormI13__nv_bfloat16Li1EEvPT_PKS1_S4_S4_S4_fi","void addBiasResidualPostLayerNorm<__nv_bfloat16, (int)1>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__nv_bfloat16, (int)1>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNorm<__nv_bfloat16, (int)1>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"addBiasResidualLayerNorm-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/addBiasResidualLayerNorm","timeout",20.04137456599983,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","addBiasResidualLayerNorm","10000","cuda","_Z30addBiasResidualPostLayerNormV2I13__nv_bfloat16EvPT_PKS1_S4_S4_S4_fi","void addBiasResidualPostLayerNormV2<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNormV2<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)","void addBiasResidualPostLayerNormV2<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, float, int)"
"adjacent-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adjacent","normal",20.077518400000372,8.6,"_Z18BlockAdjDiffKernelILi64EEvPKiPib",685801811693.66,0.0,0.0,0.0,0.0,0.0,0.0,1165760.0,"(64, 1, 1)","(390625, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,324609375.0,278453004906.6703,0.4060254728971934,"adjacent","100000000 1000","cuda","_Z18BlockAdjDiffKernelILi64EEvPKiPib","void BlockAdjDiffKernel<(int)64>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)64>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)64>(const int *, int *, bool)"
"adjacent-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adjacent","normal",20.077518400000372,8.6,"_Z18BlockAdjDiffKernelILi128EEvPKiPib",686054829139.66,0.0,0.0,0.0,0.0,0.0,0.0,1164928.0,"(128, 1, 1)","(195313, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,324805519.0,278820252410.4494,0.4064110338820894,"adjacent","100000000 1000","cuda","_Z18BlockAdjDiffKernelILi128EEvPKiPib","void BlockAdjDiffKernel<(int)128>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)128>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)128>(const int *, int *, bool)"
"adjacent-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adjacent","normal",20.077518400000372,8.6,"_Z18BlockAdjDiffKernelILi256EEvPKiPib",685987093939.64,0.0,0.0,0.0,0.0,0.0,0.0,1165344.0,"(256, 1, 1)","(97657, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,324904839.0,278805948286.5145,0.4064303115169783,"adjacent","100000000 1000","cuda","_Z18BlockAdjDiffKernelILi256EEvPKiPib","void BlockAdjDiffKernel<(int)256>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)256>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)256>(const int *, int *, bool)"
"adjacent-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adjacent","normal",20.077518400000372,8.6,"_Z18BlockAdjDiffKernelILi512EEvPKiPib",686090000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1164800.0,"(512, 1, 1)","(48829, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,324956995.0,278980936641.48346,0.40662440298136315,"adjacent","100000000 1000","cuda","_Z18BlockAdjDiffKernelILi512EEvPKiPib","void BlockAdjDiffKernel<(int)512>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)512>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)512>(const int *, int *, bool)"
"adjacent-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/adjacent","timeout",20.077518400000372,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","adjacent","100000000 1000","cuda","_Z18BlockAdjDiffKernelILi1024EEvPKiPib","void BlockAdjDiffKernel<(int)1024>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)1024>(const int *, int *, bool)","void BlockAdjDiffKernel<(int)1024>(const int *, int *, bool)"
