Kernel Name,device,codenmae,exeArgs,source,sample,model_type,Demangled Name,lines_of_code,opcode_IMAD,opcode_MOV,opcode_BRA,opcode_ISETP,opcode_IADD3,opcode_LDG,opcode_LEA,opcode_FSETP,opcode_BSSY,opcode_BSYNC,opcode_SHF,opcode_LDS,opcode_STG,opcode_SEL,opcode_BREAK,opcode_NOP,opcode_FSEL,opcode_STS,opcode_BAR,opcode_S2R,opcode_PRMT,opcode_EXIT,opcode_LOP3,opcode_FMUL,opcode_IMNMX,opcode_CALL,opcode_ULDC,opcode_FADD,opcode_HFMA2,opcode_LDC,opcode_UMOV,opcode_UIADD3,opcode_S2UR,opcode_ULEA,opcode_UIMAD,opcode_R2UR,opcode_UISETP,opcode_USHF,opcode_VIADD,opcode_USEL,opcode_PLOP3,opcode_FFMA,opcode_F2I,opcode_FCHK,opcode_FRND,opcode_P2R,opcode_I2FP,opcode_I2F,opcode_ULOP3,opcode_YIELD,opcode_WARPSYNC,opcode_DADD,opcode_MUFU,opcode_VIADDMNMX,opcode_SHFL,opcode_ATOMG,opcode_VOTE,opcode_ENDCOLLECTIVE,opcode_DFMA,opcode_DMUL,opcode_CS2R,opcode_ATOMS,opcode_REDUX,opcode_UFLO,opcode_VOTEU,opcode_IABS,opcode_HMMA,opcode_DSETP,opcode_R2P,opcode_F2F,opcode_LD,opcode_ST,opcode_LDL,opcode_STL,opcode_BMOV,opcode_RET,opcode_VIMNMX,opcode_FMNMX,opcode_VIMNMX3,opcode_UP2UR,opcode_POPC,opcode_UPRMT,opcode_FLO,opcode_FSET,opcode_HADD2,opcode_F2FP,opcode_HMUL2,opcode_HSET2,opcode_BRX,opcode_DEPBAR,opcode_VABSDIFF4,opcode_BREV,opcode_UBREV,opcode_HMNMX2,opcode_HSETP2,opcode_UPLOP3,opcode_CCTL,opcode_ERRBAR,opcode_MEMBAR,opcode_CGAERRBAR,opcode_B2R,opcode_UPOPC,opcode_SGXT,opcode_MATCH,opcode_ATOM,opcode_QSPC,opcode_NANOSLEEP,opcode_USGXT,opcode_BRXU,opcode_F2IP
_Z10SortKerneliiPiPKiPViS_S_,A10,bh,300 30,bh-cuda,1,cuda,"SortKernel(int, int, int *, const int *, volatile int *, int *, int *)",208,43.0,7.0,25,26.0,23.0,17.0,,,7.0,7.0,1.0,,30.0,,,13,,,1.0,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SortKerneliiPiPKiPViS_S_,A100,bh,300 30,bh-cuda,1,cuda,"SortKernel(int, int, int *, const int *, volatile int *, int *, int *)",208,43.0,5.0,25,26.0,23.0,17.0,,,7.0,7.0,1.0,,30.0,,,13,,,1.0,2.0,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SortKerneliiPiPKiPViS_S_,H100,bh,300 30,bh-cuda,1,cuda,"SortKernel(int, int, int *, const int *, volatile int *, int *, int *)",208,40.0,2.0,25,26.0,23.0,17.0,,,7.0,7.0,1.0,,30.0,,,9,,,1.0,1.0,,2.0,,,,,4.0,,2.0,8.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIdEvPKT_S2_PS0_,3080,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",24,4.0,2.0,1,,,2.0,,,,,,,1.0,,,9,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIdEvPKT_S2_PS0_,A10,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",24,4.0,2.0,1,,,2.0,,,,,,,1.0,,,9,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIdEvPKT_S2_PS0_,H100,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",32,4.0,,1,,,2.0,,,,,,,1.0,,,14,,,,2.0,,1.0,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIfEvPKT_S2_PS0_,3080,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<float>(const T1 *, const T1 *, T1 *)",24,4.0,2.0,1,,,2.0,,,,,,,1.0,,,9,,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIfEvPKT_S2_PS0_,A10,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<float>(const T1 *, const T1 *, T1 *)",24,4.0,2.0,1,,,2.0,,,,,,,1.0,,,9,,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIfEvPKT_S2_PS0_,A100,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<float>(const T1 *, const T1 *, T1 *)",24,4.0,1.0,1,,,2.0,,,,,,,1.0,,,9,,,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10add_kernelIfEvPKT_S2_PS0_,H100,babelstream,nan,babelstream-cuda,1,cuda,"void add_kernel<float>(const T1 *, const T1 *, T1 *)",32,4.0,,1,,,2.0,,,,,,,1.0,,,14,,,,2.0,,1.0,,,,,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10bucketsortPKfPKiPfPKjS5_i,3080,hybridsort,r,hybridsort-cuda,1,cuda,"bucketsort(const float *, const int *, float *, const unsigned int *, const unsigned int *, int)",216,61.0,7.0,9,14.0,33.0,20.0,6.0,,3.0,3.0,3.0,5.0,5.0,,,13,,5.0,1.0,2.0,,3.0,16.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10bucketsortPKfPKiPfPKjS5_i,A10,hybridsort,r,hybridsort-cuda,1,cuda,"bucketsort(const float *, const int *, float *, const unsigned int *, const unsigned int *, int)",216,61.0,7.0,9,14.0,33.0,20.0,6.0,,3.0,3.0,3.0,5.0,5.0,,,13,,5.0,1.0,2.0,,3.0,16.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10bucketsortPKfPKiPfPKjS5_i,A100,hybridsort,r,hybridsort-cuda,1,cuda,"bucketsort(const float *, const int *, float *, const unsigned int *, const unsigned int *, int)",216,61.0,3.0,9,14.0,33.0,20.0,6.0,,3.0,3.0,3.0,5.0,5.0,,,15,,5.0,1.0,2.0,,3.0,16.0,,,,1.0,,2.0,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10bucketsortPKfPKiPfPKjS5_i,H100,hybridsort,r,hybridsort-cuda,1,cuda,"bucketsort(const float *, const int *, float *, const unsigned int *, const unsigned int *, int)",248,58.0,2.0,9,14.0,24.0,20.0,17.0,,3.0,3.0,3.0,5.0,5.0,,,13,,5.0,1.0,3.0,,3.0,16.0,,,,5.0,,1.0,10.0,7.0,3.0,3.0,3.0,,,,,6.0,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10chi_kerneljjiiPKhPf,3080,chi2,4000 400000 2000 2000 256 1000,chi2-cuda,1,cuda,"chi_kernel(unsigned int, unsigned int, int, int, const unsigned char *, float *)",504,78.0,42.0,43,40.0,73.0,10.0,,,22.0,22.0,8.0,,1.0,,,12,,,,2.0,,2.0,1.0,12.0,1.0,12.0,6.0,15.0,,,1.0,4.0,,,,,,2.0,,,,60.0,,12.0,,,9.0,,2.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10chi_kerneljjiiPKhPf,A10,chi2,4000 400000 2000 2000 256 1000,chi2-cuda,1,cuda,"chi_kernel(unsigned int, unsigned int, int, int, const unsigned char *, float *)",504,78.0,42.0,43,40.0,73.0,10.0,,,22.0,22.0,8.0,,1.0,,,12,,,,2.0,,2.0,1.0,12.0,1.0,12.0,6.0,15.0,,,1.0,4.0,,,,,,2.0,,,,60.0,,12.0,,,9.0,,2.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10chi_kerneljjiiPKhPf,A100,chi2,4000 400000 2000 2000 256 1000,chi2-cuda,1,cuda,"chi_kernel(unsigned int, unsigned int, int, int, const unsigned char *, float *)",504,77.0,41.0,43,40.0,74.0,10.0,,,22.0,22.0,8.0,,1.0,,,10,,,,2.0,,2.0,1.0,12.0,1.0,12.0,6.0,15.0,3.0,,1.0,4.0,,,,,,2.0,,,,60.0,,12.0,,,,9.0,2.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10chi_kerneljjiiPKhPf,H100,chi2,4000 400000 2000 2000 256 1000,chi2-cuda,1,cuda,"chi_kernel(unsigned int, unsigned int, int, int, const unsigned char *, float *)",504,70.0,40.0,43,40.0,57.0,10.0,,,22.0,22.0,8.0,,1.0,,,12,,,,2.0,,2.0,2.0,12.0,,12.0,12.0,15.0,2.0,4.0,,,,,,,,2.0,19.0,,,60.0,,12.0,,,9.0,,1.0,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10col_kernelPKjPjiiif,3080,boxfilter,../boxfilter-sycl/data/lenaRGB.ppm 10000,boxfilter-cuda,1,cuda,"col_kernel(const unsigned int *, unsigned int *, int, int, int, float)",728,78.0,4.0,28,35.0,64.0,20.0,47.0,,,,59.0,,11.0,,,14,,,,2.0,,4.0,79.0,48.0,1.0,,1.0,108.0,,,,,,,,,,,,,,,44.0,,,,41.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10col_kernelPKjPjiiif,A10,boxfilter,../boxfilter-sycl/data/lenaRGB.ppm 10000,boxfilter-cuda,1,cuda,"col_kernel(const unsigned int *, unsigned int *, int, int, int, float)",728,78.0,4.0,28,35.0,64.0,20.0,47.0,,,,59.0,,11.0,,,14,,,,2.0,,4.0,79.0,48.0,1.0,,1.0,108.0,,,,,,,,,,,,,,,44.0,,,,41.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10col_kernelPKjPjiiif,A100,boxfilter,../boxfilter-sycl/data/lenaRGB.ppm 10000,boxfilter-cuda,1,cuda,"col_kernel(const unsigned int *, unsigned int *, int, int, int, float)",648,69.0,5.0,28,35.0,64.0,20.0,49.0,,,,23.0,,11.0,,,14,,,,2.0,,4.0,39.0,48.0,1.0,,1.0,108.0,2.0,,,,,,,,,,,,,,44.0,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10col_kernelPKjPjiiif,H100,boxfilter,../boxfilter-sycl/data/lenaRGB.ppm 10000,boxfilter-cuda,1,cuda,"col_kernel(const unsigned int *, unsigned int *, int, int, int, float)",768,71.0,4.0,28,35.0,32.0,20.0,47.0,,,,60.0,,11.0,,,14,,,,2.0,,4.0,79.0,48.0,,,24.0,108.0,,24.0,4.0,9.0,,,2.0,,,,16.0,,,,44.0,,,,41.0,40.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_aosoaPK6float2PS_S1_i,3080,hexciton,nan,hexciton-cuda,1,cuda,"comm_aosoa(const float2 *, float2 *, const float2 *, int)",248,37.0,40.0,6,2.0,18.0,26.0,8.0,,,,1.0,,2.0,,,14,,,,4.0,,2.0,,,,,12.0,2.0,,,7.0,14.0,,,18.0,,4.0,1.0,,,4.0,24.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_aosoaPK6float2PS_S1_i,A10,hexciton,nan,hexciton-cuda,1,cuda,"comm_aosoa(const float2 *, float2 *, const float2 *, int)",248,37.0,40.0,6,2.0,18.0,26.0,8.0,,,,1.0,,2.0,,,14,,,,4.0,,2.0,,,,,12.0,2.0,,,7.0,14.0,,,18.0,,4.0,1.0,,,4.0,24.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_aosoaPK6float2PS_S1_i,H100,hexciton,nan,hexciton-cuda,1,cuda,"comm_aosoa(const float2 *, float2 *, const float2 *, int)",224,28.0,29.0,6,2.0,19.0,26.0,8.0,,,,1.0,,2.0,,,9,,,,4.0,,2.0,,,,,9.0,2.0,1.0,4.0,4.0,14.0,,,18.0,,4.0,1.0,1.0,,4.0,24.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_emptyP6float2S0_S0_,3080,hexciton,nan,hexciton-cuda,1,cuda,"comm_empty(float2 *, float2 *, float2 *)",16,,1.0,1,,,,,,,,,,,,,13,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_emptyP6float2S0_S0_,A10,hexciton,nan,hexciton-cuda,1,cuda,"comm_empty(float2 *, float2 *, float2 *)",16,,1.0,1,,,,,,,,,,,,,13,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_emptyP6float2S0_S0_,A100,hexciton,nan,hexciton-cuda,1,cuda,"comm_empty(float2 *, float2 *, float2 *)",16,,1.0,1,,,,,,,,,,,,,13,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10comm_emptyP6float2S0_S0_,H100,hexciton,nan,hexciton-cuda,1,cuda,"comm_empty(float2 *, float2 *, float2 *)",16,,,1,,,,,,,,,,,,,13,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10compactLv1fPKfPjS1_,3080,marchingCubes,100,marchingCubes-cuda,1,cuda,"compactLv1(float, const float *, unsigned int *, unsigned int *)",128,26.0,8.0,8,15.0,4.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,8.0,,13,,3.0,3.0,3.0,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,14.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10compactLv1fPKfPjS1_,A10,marchingCubes,100,marchingCubes-cuda,1,cuda,"compactLv1(float, const float *, unsigned int *, unsigned int *)",128,26.0,8.0,8,15.0,4.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,8.0,,13,,3.0,3.0,3.0,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,14.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10compactLv1fPKfPjS1_,A100,marchingCubes,100,marchingCubes-cuda,1,cuda,"compactLv1(float, const float *, unsigned int *, unsigned int *)",128,26.0,6.0,8,15.0,4.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,8.0,,13,,3.0,3.0,3.0,,2.0,1.0,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,14.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10compactLv1fPKfPjS1_,H100,marchingCubes,100,marchingCubes-cuda,1,cuda,"compactLv1(float, const float *, unsigned int *, unsigned int *)",128,19.0,2.0,6,13.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,9.0,,11,,3.0,3.0,3.0,,2.0,1.0,,,,2.0,,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,3.0,,,,16.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10compactLv2fPKfPKjPjjS3_,3080,marchingCubes,100,marchingCubes-cuda,1,cuda,"compactLv2(float, const float *, const unsigned int *, unsigned int *, unsigned int, unsigned int *)",184,47.0,24.0,9,19.0,1.0,3.0,,2.0,2.0,2.0,9.0,3.0,1.0,14.0,,14,,3.0,3.0,2.0,,2.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10compactLv2fPKfPKjPjjS3_,A10,marchingCubes,100,marchingCubes-cuda,1,cuda,"compactLv2(float, const float *, const unsigned int *, unsigned int *, unsigned int, unsigned int *)",184,47.0,24.0,9,19.0,1.0,3.0,,2.0,2.0,2.0,9.0,3.0,1.0,14.0,,14,,3.0,3.0,2.0,,2.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
